"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300"
"49",21.09,21.09,20.19,20.65,21.91,21.51,22.71,21.51,22.31,22.9,23.95,24.41,27.18,29.5,25.47,25.47,26.79,30.65,30.49,32.33,35.01,36.5,37.03,39.56,42.54,44.5,46.93,62.8,69.12,80.65,87.94,98.53,100.11,101.74,104.88,100.34,112.95,129.07,119.06,110.17,110.17,113.15,107.18,104.18,113.15,119.06,124.86,98.2,101.19,89.35,86.45,80.75,69.89,53.12,67.31,62.32,43.2,57.59,53.12,33.68,27.68,31.07,26.62,35.81,36.71,42.54,42.45,43.51,47.15,45.11,42.19,39.84,37.7,41.36,35,37.78,38.8,34.17,37.78,30.64,31.27,35.88,36.8,35.88,44.73,46.08,38.8,36.8,31.27,27.59,26.43,28.73,31.94,35.11,37.47,41.08,40.84,43.28,45.7,45.72,42.45,38.77,35.73,33.13,29.43,26.93,23.55,20.35,17.68,17.93,18.17,19.23,20.48,19.59,18.62,19.59,18.62,19.75,18.4,16.89,17.68,16.62,16.89,18.62,18.62,16.62,20.79,26.3,30.52,34.52,38.66,42.1,58.78,64.53,69.55,73.37,83.57,85.23,91.16,93.65,102.41,106.06,117.03,120.95,129.52,140.99,140.65,118.94,109.33,117.52,117.52,125.6,151.78,157.25,149.76,158.85,151.78,158.85,145.45,135.95,147.65,135.95,149.76,135.95,138.42,135.95,133.43,138.42,133.43,124.96,127.59,119.08,109.1,113.39,109.36,96.73,84.76,71.33,61,62.82,46.12,43.1,40.16,36.47,33.31,31.49,28.36,25.18,21.95,18.38,20.87,17.22,18.93,18.66,21.3,21.09,21.3,18.66,18.66,17.22,14.38,14.38,16.61,16.61,19.19,18.38,21.12,20.81,24.88,26.33,29.3,30.72,31.74,34.09,35.53,36.9,38.97,41.04,42.67,43.74,45.28,46.15,44.51,42.47,40.3,38.59,36.53,33.73,32.63,29.74,28.83,26.93,26.69,25.57,23.92,21.36,17.68,18.62,18.4,19.04,18.4,16.62,18.4,18.4,18.62,20.28,19.75,17.16,16.33,16.33,13.94,13.03,12.73,11.28,12.43,13.03,15.46,15.75,16.33,17.68,18.56,21.23,23.74,24.41,26.35,27.55,30.25,32.19,35.29,36.64,38.98,40.71,42.61,44.36,45.79,43.71,41.51,38.63,36.75,34.42,32.39,29.58,27.32,25.64,22.51,21.71,21.91,21.51,23.51,23.31,24.17,23.31,23.31,23.31,24.66,27.59,25.47,24.17,26.09,28.02
"50",21.3,21.3,20.42,20.87,22.11,21.71,22.9,21.71,22.51,23.1,24.17,24.66,27.59,30.05,25.77,25.77,27.18,31.13,30.81,32.62,35.33,36.76,37.18,39.72,42.75,44.68,47.11,62.54,68.62,80.16,87.23,97.82,98.87,100.13,102.98,98.08,110.53,126.61,116.12,107.18,107.18,110.17,104.18,101.19,110.17,116.12,121.98,95.23,98.2,86.45,83.58,77.97,67.31,50.99,64.79,59.92,41.43,55.32,50.99,32.34,26.68,29.87,26.01,34.91,36.05,41.84,42.03,43.32,47.2,45.3,42.47,40.23,38.23,42.32,35.88,38.8,39.88,35,38.8,31.27,31.93,36.8,37.78,36.8,46.08,47.5,39.88,37.78,31.93,28.02,26.79,29.05,32.29,35.48,37.81,41.46,41.03,43.45,45.84,45.68,42.39,38.68,35.61,32.99,29.25,26.74,23.33,20.11,17.43,17.68,17.93,19.04,20.39,19.42,18.4,19.42,18.4,19.59,18.17,16.62,17.43,16.33,16.62,18.4,18.4,16.33,20.54,26.13,30.39,34.42,38.6,42.04,59.12,64.99,70.15,74.12,84.29,86.19,92.22,94.9,103.69,107.51,118.39,122.48,131.02,142.24,142.36,121.47,112.06,120.23,120.23,128.25,153.71,158.85,151.78,160.34,153.71,160.34,147.65,138.42,149.76,138.42,151.78,138.42,140.84,138.42,135.95,140.84,135.95,127.35,129.59,120.97,110.88,114.67,110.33,97.81,85.81,72.27,61.7,63.36,46.15,43.15,40.24,36.59,33.46,31.64,28.54,25.39,22.19,18.66,21.09,17.52,19.19,18.93,21.51,21.3,21.51,18.93,18.93,17.52,14.71,14.71,16.92,16.92,19.45,18.66,21.36,21.07,25.08,26.52,29.45,30.86,31.88,34.2,35.64,37,39.05,41.12,42.75,43.79,45.32,46.13,44.48,42.42,40.23,38.51,36.43,33.59,32.49,29.56,28.66,26.74,26.55,25.48,23.84,21.2,17.43,18.4,18.17,18.84,18.17,16.33,18.17,18.17,18.4,20.17,19.59,16.89,16.05,16.05,13.64,12.73,12.43,11.01,12.14,12.73,15.16,15.46,16.05,17.43,18.3,20.99,23.54,24.19,26.15,27.35,30.08,32.04,35.2,36.53,38.91,40.65,42.57,44.32,45.83,43.76,41.57,38.71,36.85,34.54,32.52,29.72,27.48,25.83,22.71,21.91,22.11,21.71,23.73,23.51,24.41,23.51,23.51,23.51,24.91,28.02,25.77,24.41,26.43,28.48
"51",21.51,21.51,20.65,21.09,22.31,21.91,23.1,21.91,22.71,23.31,24.41,24.91,28.02,30.64,26.09,26.09,27.59,31.64,31.15,32.94,35.66,37.04,37.34,39.89,42.96,44.87,47.3,62.27,68.1,79.64,86.48,97.06,97.59,98.48,101.04,95.81,108.08,124.09,113.15,104.18,104.18,107.18,101.19,98.2,107.18,113.15,119.06,92.28,95.23,83.58,80.75,75.22,64.79,48.94,62.32,57.59,39.73,53.12,48.94,31.07,25.74,28.74,25.44,34.06,35.42,41.17,41.63,43.15,47.25,45.5,42.76,40.65,38.78,43.33,36.8,39.88,41.01,35.88,39.88,31.93,32.63,37.78,38.8,37.78,47.5,48.97,41.01,38.8,32.63,28.48,27.18,29.4,32.67,35.87,38.17,41.86,41.24,43.63,45.98,45.64,42.32,38.58,35.48,32.84,29.07,26.55,23.11,19.86,17.16,17.43,17.68,18.84,20.28,19.23,18.17,19.23,18.17,19.42,17.93,16.33,17.16,16.05,16.33,18.17,18.17,16.05,20.29,25.95,30.25,34.31,38.53,41.98,59.45,65.44,70.72,74.85,84.99,87.13,93.25,96.13,104.93,108.91,119.68,123.95,132.45,143.38,143.99,123.97,114.79,122.93,122.93,130.86,155.53,160.34,153.71,161.71,155.53,161.71,149.76,140.84,151.78,140.84,153.71,140.84,143.18,140.84,138.42,143.18,138.42,129.69,131.53,122.8,112.63,115.9,111.23,98.84,86.84,73.21,62.42,63.9,46.18,43.21,40.32,36.71,33.61,31.78,28.71,25.59,22.42,18.93,21.3,17.81,19.45,19.19,21.71,21.51,21.71,19.19,19.19,17.81,15.03,15.03,17.22,17.22,19.7,18.93,21.59,21.33,25.27,26.71,29.59,30.99,32.02,34.31,35.74,37.09,39.12,41.2,42.83,43.84,45.36,46.1,44.45,42.36,40.15,38.42,36.32,33.45,32.34,29.39,28.48,26.55,26.41,25.39,23.75,21.03,17.16,18.17,17.93,18.62,17.93,16.05,17.93,17.93,18.17,20.04,19.42,16.62,15.75,15.75,13.33,12.43,12.14,10.75,11.85,12.43,14.86,15.16,15.75,17.16,18.03,20.75,23.34,23.97,25.95,27.16,29.91,31.89,35.1,36.43,38.83,40.59,42.52,44.29,45.87,43.81,41.63,38.8,36.94,34.65,32.65,29.87,27.65,26.03,22.9,22.11,22.31,21.91,23.95,23.73,24.66,23.73,23.73,23.73,25.18,28.48,26.09,24.66,26.79,28.97
"52",21.71,21.71,20.87,21.3,22.51,22.11,23.31,22.11,22.9,23.51,24.66,25.18,28.48,31.27,26.43,26.43,28.02,32.18,31.52,33.27,36.02,37.34,37.5,40.07,43.19,45.07,47.5,61.98,67.57,79.08,85.68,96.24,96.27,96.8,99.08,93.53,105.6,121.52,110.17,101.19,101.19,104.18,98.2,95.23,104.18,110.17,116.12,89.35,92.28,80.75,77.97,72.53,62.32,46.95,59.92,55.32,38.11,50.99,46.95,29.87,24.86,27.68,24.92,33.26,34.84,40.54,41.25,42.98,47.31,45.71,43.07,41.09,39.37,44.39,37.78,41.01,42.19,36.8,41.01,32.63,33.38,38.8,39.88,38.8,48.97,50.5,42.19,39.88,33.38,28.97,27.59,29.77,33.06,36.29,38.55,42.29,41.46,43.82,46.14,45.61,42.26,38.48,35.36,32.7,28.89,26.35,22.88,19.61,16.89,17.16,17.43,18.62,20.17,19.04,17.93,19.04,17.93,19.23,17.68,16.05,16.89,15.75,16.05,17.93,17.93,15.75,20.03,25.76,30.11,34.2,38.46,41.92,59.78,65.89,71.29,75.56,85.65,88.03,94.25,97.32,106.12,110.27,120.9,125.35,133.79,144.42,145.52,126.44,117.52,125.6,125.6,133.43,157.25,161.71,155.53,162.95,157.25,162.95,151.78,143.18,153.71,143.18,155.53,143.18,145.45,143.18,140.84,145.45,140.84,131.98,133.41,124.57,114.34,117.06,112.07,99.83,87.85,74.14,63.14,64.43,46.21,43.27,40.4,36.83,33.75,31.92,28.88,25.79,22.65,19.19,21.51,18.1,19.7,19.45,21.91,21.71,21.91,19.45,19.45,18.1,15.35,15.35,17.52,17.52,19.95,19.19,21.82,21.59,25.46,26.89,29.74,31.13,32.16,34.42,35.84,37.18,39.2,41.29,42.91,43.89,45.4,46.08,44.42,42.31,40.07,38.33,36.2,33.31,32.19,29.21,28.3,26.35,26.27,25.28,23.65,20.85,16.89,17.93,17.68,18.4,17.68,15.75,17.68,17.68,17.93,19.9,19.23,16.33,15.46,15.46,13.03,12.14,11.85,10.49,11.56,12.14,14.55,14.86,15.46,16.89,17.75,20.51,23.13,23.74,25.74,26.96,29.74,31.74,34.99,36.32,38.76,40.52,42.47,44.25,45.9,43.86,41.69,38.88,37.03,34.76,32.78,30.02,27.81,26.23,23.1,22.31,22.51,22.11,24.17,23.95,24.91,23.95,23.95,23.95,25.47,28.97,26.43,24.91,27.18,29.5
"53",21.91,21.91,21.09,21.51,22.71,22.31,23.51,22.31,23.1,23.73,24.91,25.47,28.97,31.93,26.79,26.79,28.48,32.76,31.91,33.62,36.4,37.65,37.68,40.26,43.43,45.28,47.71,61.69,67.02,78.5,84.86,95.37,94.9,95.09,97.09,91.25,103.1,118.91,107.18,98.2,98.2,101.19,95.23,92.28,101.19,107.18,113.15,86.45,89.35,77.97,75.22,69.89,59.92,45.04,57.59,53.12,36.56,48.94,45.04,28.74,24.04,26.68,24.44,32.51,34.29,39.94,40.9,42.83,47.37,45.94,43.4,41.56,40,45.5,38.8,42.19,43.43,37.78,42.19,33.38,34.17,39.88,41.01,39.88,50.5,52.09,43.43,41.01,34.17,29.5,28.02,30.16,33.48,36.73,38.96,42.74,41.69,44.02,46.31,45.57,42.19,38.38,35.23,32.55,28.71,26.15,22.65,19.35,16.62,16.89,17.16,18.4,20.04,18.84,17.68,18.84,17.68,19.04,17.43,15.75,16.62,15.46,15.75,17.68,17.68,15.46,19.78,25.57,29.96,34.09,38.39,41.86,60.11,66.32,71.84,76.26,86.28,88.91,95.2,98.47,107.25,111.57,122.06,126.68,135.04,145.34,146.95,128.87,120.23,128.25,128.25,135.95,158.85,162.95,157.25,164.06,158.85,164.06,153.71,145.45,155.53,145.45,157.25,145.45,147.65,145.45,143.18,147.65,143.18,134.21,135.21,126.29,116,118.15,112.83,100.77,88.83,75.07,63.86,64.96,46.24,43.32,40.48,36.94,33.9,32.06,29.05,25.98,22.87,19.45,21.71,18.38,19.95,19.7,22.11,21.91,22.11,19.7,19.7,18.38,15.67,15.67,17.81,17.81,20.19,19.45,22.04,21.84,25.65,27.07,29.88,31.26,32.29,34.54,35.94,37.27,39.28,41.38,43,43.95,45.45,46.05,44.39,42.25,39.98,38.23,36.09,33.16,32.04,29.03,28.12,26.15,26.11,25.17,23.53,20.66,16.62,17.68,17.43,18.17,17.43,15.46,17.43,17.43,17.68,19.75,19.04,16.05,15.16,15.16,12.73,11.85,11.56,10.24,11.28,11.85,14.25,14.55,15.16,16.62,17.47,20.26,22.91,23.52,25.53,26.76,29.56,31.58,34.88,36.2,38.68,40.45,42.42,44.21,45.94,43.9,41.75,38.96,37.13,34.87,32.92,30.16,27.98,26.43,23.31,22.51,22.71,22.31,24.41,24.17,25.18,24.17,24.17,24.17,25.77,29.5,26.79,25.18,27.59,30.05
"54",22.11,22.11,21.3,21.71,22.9,22.51,23.73,22.51,23.31,23.95,25.18,25.77,29.5,32.63,27.18,27.18,28.97,33.37,32.32,33.99,36.8,37.98,37.87,40.46,43.68,45.5,47.93,61.38,66.46,77.88,84,94.45,93.51,93.35,95.08,88.97,100.6,116.25,104.18,95.23,95.23,98.2,92.28,89.35,98.2,104.18,110.17,83.58,86.45,75.22,72.53,67.31,57.59,43.2,55.32,50.99,35.08,46.95,43.2,27.68,23.28,25.74,24.01,31.8,33.78,39.37,40.57,42.7,47.44,46.17,43.75,42.06,40.65,46.66,39.88,43.43,44.73,38.8,43.43,34.17,35,41.01,42.19,41.01,52.09,53.74,44.73,42.19,35,30.05,28.48,30.57,33.93,37.2,39.39,43.22,41.93,44.23,46.48,45.53,42.12,38.29,35.1,32.4,28.52,25.95,22.41,19.08,16.33,16.62,16.89,18.17,19.9,18.62,17.43,18.62,17.43,18.84,17.16,15.46,16.33,15.16,15.46,17.43,17.43,15.16,19.51,25.37,29.8,33.97,38.31,41.79,60.43,66.74,72.37,76.94,86.87,89.75,96.12,99.59,108.34,112.82,123.14,127.92,136.2,146.16,148.27,131.25,122.93,130.86,130.86,138.42,160.34,164.06,158.85,165.03,160.34,165.03,155.53,147.65,157.25,147.65,158.85,147.65,149.76,147.65,145.45,149.76,145.45,136.39,136.94,127.94,117.61,119.17,113.53,101.67,89.77,75.99,64.59,65.49,46.27,43.38,40.55,37.05,34.03,32.2,29.21,26.17,23.09,19.7,21.91,18.66,20.19,19.95,22.31,22.11,22.31,19.95,19.95,18.66,15.99,15.99,18.1,18.1,20.42,19.7,22.25,22.09,25.83,27.24,30.03,31.4,32.41,34.65,36.04,37.36,39.36,41.47,43.09,44,45.49,46.02,44.36,42.19,39.9,38.14,35.97,33.02,31.89,28.85,27.93,25.95,25.95,25.04,23.41,20.46,16.33,17.43,17.16,17.93,17.16,15.16,17.16,17.16,17.43,19.59,18.84,15.75,14.86,14.86,12.43,11.56,11.28,10,11.01,11.56,13.94,14.25,14.86,16.33,17.19,20.01,22.69,23.29,25.32,26.56,29.39,31.42,34.77,36.09,38.59,40.38,42.36,44.16,45.98,43.95,41.81,39.04,37.22,34.98,33.06,30.31,28.15,26.65,23.51,22.71,22.9,22.51,24.66,24.41,25.47,24.41,24.41,24.41,26.09,30.05,27.18,25.47,28.02,30.64
"55",22.31,22.31,21.51,21.91,23.1,22.71,23.95,22.71,23.51,24.17,25.47,26.09,30.05,33.38,27.59,27.59,29.5,34.01,32.76,34.39,37.23,38.34,38.07,40.68,43.96,45.74,48.16,61.06,65.89,77.23,83.11,93.49,92.08,91.6,93.06,86.7,98.08,113.57,101.19,92.28,92.28,95.23,89.35,86.45,95.23,101.19,107.18,80.75,83.58,72.53,69.89,64.79,55.32,41.43,53.12,48.94,33.68,45.04,41.43,26.68,22.58,24.86,23.62,31.15,33.3,38.84,40.27,42.57,47.51,46.43,44.11,42.58,41.34,47.86,41.01,44.73,46.08,39.88,44.73,35,35.88,42.19,43.43,42.19,53.74,55.46,46.08,43.43,35.88,30.64,28.97,31.02,34.4,37.7,39.84,43.72,42.19,44.45,46.67,45.49,42.06,38.19,34.98,32.25,28.34,25.74,22.17,18.82,16.05,16.33,16.62,17.93,19.75,18.4,17.16,18.4,17.16,18.62,16.89,15.16,16.05,14.86,15.16,17.16,17.16,14.86,19.25,25.17,29.64,33.84,38.23,41.72,60.74,67.15,72.89,77.59,87.42,90.55,96.99,100.66,109.36,114.01,124.14,129.09,137.27,146.86,149.49,133.59,125.6,133.43,133.43,140.84,161.71,165.03,160.34,165.87,161.71,165.87,157.25,149.76,158.85,149.76,160.34,149.76,151.78,149.76,147.65,151.78,147.65,138.49,138.58,129.52,119.17,120.11,114.16,102.51,90.69,76.9,65.33,66,46.3,43.43,40.62,37.16,34.17,32.33,29.37,26.36,23.3,19.95,22.11,18.93,20.42,20.19,22.51,22.31,22.51,20.19,20.19,18.93,16.3,16.3,18.38,18.38,20.65,19.95,22.46,22.33,26.01,27.41,30.17,31.53,32.54,34.76,36.14,37.45,39.45,41.57,43.19,44.06,45.54,45.99,44.32,42.13,39.81,38.04,35.85,32.87,31.74,28.67,27.74,25.74,25.78,24.91,23.28,20.25,16.05,17.16,16.89,17.68,16.89,14.86,16.89,16.89,17.16,19.42,18.62,15.46,14.55,14.55,12.14,11.28,11.01,9.77,10.75,11.28,13.64,13.94,14.55,16.05,16.91,19.75,22.46,23.06,25.11,26.36,29.21,31.26,34.65,35.97,38.51,40.3,42.31,44.12,46.01,43.99,41.87,39.12,37.32,35.1,33.21,30.47,28.32,26.87,23.73,22.9,23.1,22.71,24.91,24.66,25.77,24.66,24.66,24.66,26.43,30.64,27.59,25.77,28.48,31.27
"56",22.51,22.51,21.71,22.11,23.31,22.9,24.17,22.9,23.73,24.41,25.77,26.43,30.64,34.17,28.02,28.02,30.05,34.7,33.22,34.81,37.68,38.72,38.28,40.91,44.24,45.99,48.4,60.74,65.31,76.56,82.19,92.48,90.62,89.82,91.02,84.44,95.56,110.86,98.2,89.35,89.35,92.28,86.45,83.58,92.28,98.2,104.18,77.97,80.75,69.89,67.31,62.32,53.12,39.73,50.99,46.95,32.34,43.2,39.73,25.74,21.93,24.04,23.26,30.53,32.86,38.34,39.98,42.46,47.58,46.69,44.5,43.12,42.07,49.12,42.19,46.08,47.5,41.01,46.08,35.88,36.8,43.43,44.73,43.43,55.46,57.23,47.5,44.73,36.8,31.27,29.5,31.49,34.91,38.23,40.32,44.25,42.47,44.69,46.86,45.45,41.99,38.09,34.85,32.1,28.15,25.53,21.93,18.55,15.75,16.05,16.33,17.68,19.59,18.17,16.89,18.17,16.89,18.4,16.62,14.86,15.75,14.55,14.86,16.89,16.89,14.55,18.98,24.96,29.48,33.71,38.15,41.65,61.05,67.55,73.38,78.23,87.93,91.32,97.82,101.69,110.33,115.13,125.05,130.17,138.24,147.44,150.59,135.87,128.25,135.95,135.95,143.18,162.95,165.87,161.71,166.57,162.95,166.57,158.85,151.78,160.34,151.78,161.71,151.78,153.71,151.78,149.76,153.71,149.76,140.53,140.14,131.02,120.66,120.98,114.7,103.29,91.57,77.8,66.07,66.51,46.33,43.48,40.69,37.27,34.3,32.46,29.52,26.53,23.5,20.19,22.31,19.19,20.65,20.42,22.71,22.51,22.71,20.42,20.42,19.19,16.61,16.61,18.66,18.66,20.87,20.19,22.67,22.56,26.18,27.58,30.31,31.66,32.67,34.87,36.24,37.54,39.53,41.67,43.29,44.12,45.59,45.96,44.29,42.06,39.73,37.94,35.73,32.73,31.58,28.49,27.55,25.53,25.6,24.77,23.14,20.03,15.75,16.89,16.62,17.43,16.62,14.55,16.62,16.62,16.89,19.23,18.4,15.16,14.25,14.25,11.85,11.01,10.75,9.56,10.49,11.01,13.33,13.64,14.25,15.75,16.62,19.49,22.22,22.82,24.89,26.17,29.03,31.1,34.53,35.85,38.42,40.23,42.25,44.08,46.05,44.03,41.93,39.19,37.42,35.22,33.37,30.62,28.51,27.11,23.95,23.1,23.31,22.9,25.18,24.91,26.09,24.91,24.91,24.91,26.79,31.27,28.02,26.09,28.97,31.93
"57",22.71,22.71,21.91,22.31,23.51,23.1,24.41,23.1,23.95,24.66,26.09,26.79,31.27,35,28.48,28.48,30.64,35.43,33.72,35.26,38.16,39.12,38.51,41.16,44.54,46.25,48.66,60.4,64.72,75.86,81.24,91.44,89.13,88.03,88.98,82.19,93.04,108.13,95.23,86.45,86.45,89.35,83.58,80.75,89.35,95.23,101.19,75.22,77.97,67.31,64.79,59.92,50.99,38.11,48.94,45.04,31.07,41.43,38.11,24.86,21.34,23.28,22.95,29.96,32.46,37.87,39.72,42.36,47.66,46.97,44.91,43.7,42.83,50.43,43.43,47.5,48.97,42.19,47.5,36.8,37.78,44.73,46.08,44.73,57.23,59.06,48.97,46.08,37.78,31.93,30.05,31.99,35.44,38.78,40.83,44.8,42.76,44.94,47.07,45.42,41.92,38,34.72,31.94,27.97,25.32,21.69,18.27,15.46,15.75,16.05,17.43,19.42,17.93,16.62,17.93,16.62,18.17,16.33,14.55,15.46,14.25,14.55,16.62,16.62,14.25,18.72,24.75,29.31,33.58,38.06,41.58,61.35,67.93,73.86,78.84,88.4,92.05,98.6,102.66,111.23,116.19,125.89,131.16,139.11,147.91,151.58,138.09,130.86,138.42,138.42,145.45,164.06,166.57,162.95,167.12,164.06,167.12,160.34,153.71,161.71,153.71,162.95,153.71,155.53,153.71,151.78,155.53,151.78,142.49,141.61,132.45,122.1,121.77,115.18,104.02,92.41,78.68,66.81,67.01,46.36,43.53,40.76,37.38,34.43,32.59,29.67,26.71,23.7,20.42,22.51,19.45,20.87,20.65,22.9,22.71,22.9,20.65,20.65,19.45,16.92,16.92,18.93,18.93,21.09,20.42,22.87,22.79,26.35,27.74,30.46,31.79,32.79,34.98,36.34,37.63,39.62,41.78,43.4,44.18,45.65,45.93,44.25,42,39.64,37.83,35.61,32.58,31.42,28.31,27.35,25.32,25.41,24.62,22.99,19.8,15.46,16.62,16.33,17.16,16.33,14.25,16.33,16.33,16.62,19.04,18.17,14.86,13.94,13.94,11.56,10.75,10.49,9.35,10.24,10.75,13.03,13.33,13.94,15.46,16.33,19.22,21.99,22.59,24.68,25.97,28.85,30.93,34.4,35.73,38.33,40.15,42.19,44.03,46.08,44.07,41.99,39.27,37.52,35.34,33.53,30.78,28.69,27.36,24.17,23.31,23.51,23.1,25.47,25.18,26.43,25.18,25.18,25.18,27.18,31.93,28.48,26.43,29.5,32.63
"58",22.9,22.9,22.11,22.51,23.73,23.31,24.66,23.31,24.17,24.91,26.43,27.18,31.93,35.88,28.97,28.97,31.27,36.19,34.25,35.74,38.67,39.54,38.75,41.42,44.86,46.53,48.92,60.06,64.13,75.15,80.27,90.35,87.63,86.24,86.94,79.96,90.53,105.38,92.28,83.58,83.58,86.45,80.75,77.97,86.45,92.28,98.2,72.53,75.22,64.79,62.32,57.59,48.94,36.56,46.95,43.2,29.87,39.73,36.56,24.04,20.79,22.58,22.67,29.44,32.09,37.43,39.47,42.27,47.74,47.26,45.33,44.31,43.63,51.79,44.73,48.97,50.5,43.43,48.97,37.78,38.8,46.08,47.5,46.08,59.06,60.96,50.5,47.5,38.8,32.63,30.64,32.52,36.01,39.37,41.37,45.38,43.07,45.21,47.28,45.38,41.85,37.9,34.6,31.78,27.78,25.11,21.45,18,15.16,15.46,15.75,17.16,19.23,17.68,16.33,17.68,16.33,17.93,16.05,14.25,15.16,13.94,14.25,16.33,16.33,13.94,18.45,24.53,29.13,33.45,37.97,41.51,61.65,68.29,74.31,79.42,88.83,92.73,99.32,103.59,112.07,117.18,126.63,132.06,139.87,148.25,152.45,140.23,133.43,140.84,140.84,147.65,165.03,167.12,164.06,167.53,165.03,167.53,161.71,155.53,162.95,155.53,164.06,155.53,157.25,155.53,153.71,157.25,153.71,144.36,142.98,133.79,123.46,122.47,115.57,104.69,93.21,79.55,67.55,67.5,46.39,43.57,40.83,37.48,34.56,32.71,29.82,26.88,23.9,20.65,22.71,19.7,21.09,20.87,23.1,22.9,23.1,20.87,20.87,19.7,17.22,17.22,19.19,19.19,21.3,20.65,23.07,23.02,26.52,27.9,30.61,31.93,32.91,35.1,36.44,37.72,39.71,41.9,43.52,44.25,45.7,45.9,44.21,41.93,39.55,37.73,35.48,32.44,31.26,28.13,27.16,25.11,25.22,24.46,22.82,19.57,15.16,16.33,16.05,16.89,16.05,13.94,16.05,16.05,16.33,18.84,17.93,14.55,13.64,13.64,11.28,10.49,10.24,9.16,10,10.49,12.73,13.03,13.64,15.16,16.05,18.96,21.75,22.36,24.46,25.77,28.67,30.77,34.27,35.61,38.23,40.07,42.13,43.98,46.12,44.12,42.05,39.35,37.62,35.47,33.69,30.95,28.89,27.62,24.41,23.51,23.73,23.31,25.77,25.47,26.79,25.47,25.47,25.47,27.59,32.63,28.97,26.79,30.05,33.38
