"","trial","vmax","vmax_location"
"287",286,163,30
"288",287,163,39
"289",288,163,41
"290",289,163,49
"291",290,163,47
"292",291,163,53
"293",292,163,56
"294",293,163,49
"295",294,155,45
"296",295,148,51
"297",296,140,58
"298",297,133,61
"299",298,125,58
"300",299,117,56
"301",300,110,61
"302",301,102,45
"303",302,95,55
"304",303,87,53
"305",304,79,61
"306",305,72,63
"307",306,64,232
"308",307,73,228
"309",308,82,228
"310",309,91,222
"311",310,100,210
"312",311,109,207
"313",312,118,206
"314",313,127,212
"315",314,136,213
"316",315,145,214
"317",316,154,206
"318",317,163,211
"319",318,163,212
"320",319,163,226
"321",320,163,229
"322",321,163,230
"323",322,163,237
"324",323,163,235
"325",324,163,240
"326",325,163,251
"327",326,163,246
"328",327,163,251
"329",328,163,248
"330",329,163,248
"331",330,163,245
"332",331,163,245
"333",332,152,241
"334",333,141,236
"335",334,130,237
"336",335,119,241
"337",336,108,234
"338",337,97,229
"339",338,86,226
"340",339,75,225
"341",340,64,87
"342",341,73,83
"343",342,82,81
"344",343,91,72
"345",344,100,70
"346",345,109,71
